population(mil.),country,av_Working_h,human_capital_index,GDP_per_capita,real_consumption_per_capita
4.468,Mauritania,1947,1.77,5782.66,4420.97
0.005,Montserrat,1947,2.69,17486.0,32100.0
1.286,Mauritius,1914,2.63,26312.36,22942.07
19.026,Malawi,1581,2.04,1823.19,1549.86
33.441,Malaysia,2316,3.08,28809.24,21997.32
2.65,Namibia,2222,2.25,10421.5,9952.34
22.948,Niger,2051,1.22,1563.17,1298.05
209.486,Nigeria,1995,1.97,5223.66,4970.36
6.484,Nicaragua,1947,2.29,6621.63,5568.52
17.538,Netherlands,1457,3.4,67064.0,40384.23
5.348,Norway,1419,3.66,96299.18,46840.73
28.414,Nepal,1947,1.82,4866.24,3772.51
4.989,New Zealand,1742,3.41,44760.43,36070.86
4.591,Oman,2312,2.69,44207.07,23458.46
230.801,Pakistan,2390,1.77,5433.19,5188.77
4.235,Panama,1947,2.89,33739.56,21950.55
32.449,Peru,2112,2.84,14599.15,10774.91
110.805,Philippines,2170,2.71,9630.65,8172.75
38.226,Poland,1797,3.4,36410.68,28676.95
10.343,Portugal,1741,2.51,34669.05,28910.31
6.515,Paraguay,2051,2.66,14766.5,11886.75
4.958,Palestine,1947,2.69,8006.06,7718.15
2.798,Qatar,2496,2.94,119457.38,38773.8
19.502,Romania,1803,3.27,31450.62,26196.95
146.533,Russia,2062,3.31,36477.63,25003.99
12.776,Rwanda,1668,1.79,2716.95,2321.24
30.473,Saudi Arabia,1990,2.84,60669.37,37589.21
45.548,Sudan,2681,1.61,3458.56,5021.92
16.353,Senegal,2315,1.62,3880.39,3176.74
5.67,Singapore,2331,3.21,97259.14,43316.07
7.732,Sierra Leone,1947,1.65,2699.54,2820.73
6.222,El Salvador,1947,2.31,10486.63,9549.37
16.031,Somalia,1947,2.69,1488.78,1845.79
6.966,Serbia,2027,3.37,19051.7,17259.72
10.423,South Sudan,1947,2.69,1086.9,866.96
0.213,Sao Tome and Principe,1947,2.69,6382.54,5751.17
0.606,Suriname,1947,2.69,20101.85,13052.81
5.451,Slovakia,1692,3.78,31134.08,23927.15
2.083,Slovenia,1601,3.57,39383.85,29806.82
10.279,Sweden,1451,3.44,58630.05,42076.51
1.18,Eswatini,1947,1.82,8903.99,8378.31
0.04,Sint Maarten,1947,2.69,44678.25,43617.5
0.118,Seychelles,1947,2.69,21600.85,28882.2
20.354,Syria,1655,2.61,8640.39,4966.74
0.043,Turks and Caicos Islands,1947,2.69,16698.37,18104.65
16.685,Chad,1576,2.69,2413.35,1794.8
8.463,Togo,1947,2.11,2529.6,2192.63
71.522,Thailand,2199,2.76,21195.2,14199.91
9.53,Tajikistan,2105,3.15,4105.02,3541.94
6.804,Turkmenistan,2185,2.69,20921.79,8922.53
1.485,Trinidad and Tobago,1617,3.09,31601.19,20540.34
11.875,Tunisia,2292,2.7,13441.44,12619.49
85.358,Türkiye,1732,2.51,27020.14,20480.18
23.596,Taiwan,2053,3.36,53315.78,37495.36
57.549,Tanzania,2078,1.72,3184.74,2355.74
43.0,Uganda,1551,2.44,2816.5,2345.35
44.957,Ukraine,2060,3.29,15833.02,13082.75
3.397,Uruguay,1517,2.78,26713.6,21345.3
337.79,United States,1797,3.75,67565.22,54517.41
32.965,Uzbekistan,2116,2.69,8409.82,6959.73
0.104,St. Vincent and the Grenadines,1947,2.69,14637.79,13305.77
28.938,Venezuela,1782,2.89,230.8,225.41
0.036,British Virgin Islands,1947,2.69,42354.17,17425.0
97.174,Vietnam,2068,2.6,11884.38,7990.13
35.111,Yemen,1540,1.84,1003.52,1189.72
59.588,South Africa,2207,2.77,13301.39,12020.08
18.514,Zambia,2111,2.69,3219.84,2275.98
15.271,Zimbabwe,1904,2.71,2910.42,2593.33
